municipalities,GDP,city_by_data,state
São Paulo/SP,443600101.7,Sao Paulo,SP
Rio de Janeiro/RJ,190249042.9,Rio de Janeiro,RJ
Brasília/DF,149906318.9,brasilia,df
Curitiba/PR,53106496.77,Curitiba,pr
Belo Horizonte/MG,51661760.19,Belo Horizonte,mg
Manaus/AM,48598153.16,Manaus,am
Porto Alegre/RS,43038100.2,Porto Alegre,rs
Guarulhos/SP,37139403.99,Guarulhos,sp
Fortaleza/CE,37106309.48,Fortaleza,ce
Salvador/BA,36744670.49,Salvador,ba
Campinas/SP,36688628.77,Campinas,sp
Osasco/SP,36389079.62,Osasco,sp
São Bernardo do Campo/SP,35578585.82,Sao Bernardo do Campo,sp
Recife/PE,30032003.26,Recife,pe
Betim/MG,28297360.02,Betim,mg
Barueri/SP,27752428.25,Barueri,sp
Santos/SP,27616034.7,Santos,sp
Duque de Caxias/RJ,26496845.3,Duque de Caxias,rj
Campos dos Goytacazes/RJ,25313179.34,Campos dos Goytacazes,rj
Vitória/ES,24969295.11,Vitoria,es
Goiânia/GO,24445743.96,Goiania,go
São José dos Campos/SP,24117144.92,Sao Jose dos Campos,sp
Jundiaí/SP,20124599.88,Jundiai,sp
Contagem/MG,18539693.13,Contagem,mg
Joinville/SC,18473989.58,Joinville,sc
Uberlândia/MG,18286903.94,Uberlandia,mg
Belém/PA,17987323.05,Belem,pa
São Luís/MA,17915048.34,Sao Luis,ma
Santo André/SP,17258468.05,Santo Andre,sp
Ribeirão Preto/SP,17004019.39,Ribeirao Preto,sp
Canoas/RS,16547965.84,Canoas,rs
Sorocaba/SP,16127235.9,Sorocaba,sp
Parauapebas/PA,15918216.39,Parauapebas,pa
Caxias do Sul/RS,15692358.72,Caxias do Sul,rs
Itajaí/SC,15235108.45,Itajai,sc
Campo Grande/MS,13875046.18,Campo Grande,ms
São José dos Pinhais/PR,13690888.47,Sao Jose dos Pinhais,pr
Camaçari/BA,13379554,Camacari,ba
Serra/ES,12703016.88,Serra,es
Araucária/PR,12371028.21,Araucaria,pr
Maceió/AL,12114090.37,Maceio,al
Natal/RN,11997401.16,Natal,rn
Macaé/RJ,11267976.33,Macae,rj
Diadema/SP,11254522.71,Diadema,sp
Niterói/RJ,11214103.38,Niteroi,rj
Cuiabá/MT,11051628.02,Cuiaba,mt
São Caetano do Sul/SP,11009306.05,Sao Caetano do Sul,sp
Piracicaba/SP,10931268.21,Piracicaba,sp
Teresina/PI,10539377.7,Teresina,pi
São Gonçalo/RJ,10340755.9,Sao Goncalo,rj
Angra dos Reis/RJ,10176447.73,Angra dos Reis,rj
Anápolis/GO,10059556.7,,
Londrina/PR,9936563.411,,
São Francisco do Conde/BA,9848258.995,,
Florianópolis/SC,9806533.682,,
João Pessoa/PB,9805587.175,,
Taubaté/SP,9778529.41,,
Nova Iguaçu/RJ,9496659.538,,
Volta Redonda/RJ,9170922.399,,
Ipojuca/PE,9095144.696,,
São José do Rio Preto/SP,8981998.587,,
Blumenau/SC,8950141.365,,
Louveira/SP,8914890.863,,
Mogi das Cruzes/SP,8810329.13,,
Aracaju/SE,8751493.737,,
Jaboatão dos Guararapes/PE,8359552.124,,
Juiz de Fora/MG,8314430.514,,
Maringá/PR,8263627.81,,
Paulínia/SP,8114786.992,,
Sumaré/SP,7848043.721,,
Rio Grande/RS,7737854.638,,
Porto Velho/RO,7522929.261,,
Feira de Santana/BA,7433138.826,,
Bauru/SP,7423744.31,,
Ipatinga/MG,7391668.849,,
Mauá/SP,7352092.676,,
Paranaguá/PR,7200842.315,,
Uberaba/MG,7155213.697,,
Gravataí/RS,7081795.152,,
Petrópolis/RJ,7063116.136,,
Itabira/MG,7039687.521,,
Vila Velha/ES,6978689.536,,
Foz do Iguaçu/PR,6760174.91,,
Vinhedo/SP,6715430.968,,
Limeira/SP,6712375.343,,
Americana/SP,6659418.053,,
Cabo Frio/RJ,6551707.056,,
Resende/RJ,6417156.695,,
Hortolândia/SP,6226403.784,,
Cotia/SP,6212596.699,,
Cubatão/SP,6199085.888,,
Rio das Ostras/RJ,6121511.978,,
Ponta Grossa/PR,5925946.782,,
Matão/SP,5860252.003,,
Indaiatuba/SP,5834590.158,,
Triunfo/RS,5777746.395,,
Suzano/SP,5759762.168,,
Sete Lagoas/MG,5733893.777,,
Jacareí/SP,5661581.711,,
Cajamar/SP,5501592.558,,
